from,to,position,confidence_before,confidence_after
2,1,860,0.9999999922236302,0.9999999952011418
1,3,861,0.9999999952011418,1.0
3,1,862,1.0,0.9999997871976585
1,2,863,0.9999997871976585,0.9999997743411916
2,1,869,0.9995820537970407,0.9999999999607052
1,2,870,0.9999999999607052,0.9996387332741338
2,3,871,0.9996387332741338,0.9977873651662567
3,2,872,0.9977873651662567,0.9999958708434866
2,1,881,0.999999211018077,0.9999999999990443
1,2,882,0.9999999999990443,0.999999909894275
2,1,884,0.9999999963346973,0.9999999999985114
1,2,885,0.9999999999985114,0.9999399477096224
2,1,890,0.999994673681752,0.99999982419278
1,2,891,0.99999982419278,0.999994430654746
2,0,894,0.9999991499519527,1.0
0,2,895,1.0,0.9999980133430596
2,0,909,0.9999969663562361,1.0
0,2,910,1.0,0.9999975552904741
2,3,936,0.9999999995303384,1.0
3,2,937,1.0,0.9999999975186533
2,0,974,0.9999340458907209,1.0
0,2,975,1.0,0.9999998067579456
2,1,978,0.9999988260339449,0.9999999999999929
1,2,979,0.9999999999999929,0.999992712751431
2,0,984,0.9999787839007868,1.0
0,1,985,1.0,0.999999974074877
1,2,986,0.999999974074877,0.9999999996040998
2,0,997,0.9999735900470078,1.0
0,2,998,1.0,0.9999997519995839
2,0,999,0.9999997519995839,1.0
0,2,1000,1.0,0.9999999997407691
2,1,1007,0.9999974842176469,0.9999995606126314
1,2,1008,0.9999995606126314,0.999999995542959
2,3,1015,0.9999997833003021,1.0
3,2,1016,1.0,0.9999719457720604
2,0,1017,0.9999719457720604,1.0
0,2,1018,1.0,0.9999999976622096
2,0,1031,0.999999998626036,1.0
0,2,1032,1.0,0.9999806012905651
2,1,1034,0.9999999999905782,1.0
1,2,1035,1.0,0.99999999552338
2,0,1055,0.9999883626971054,1.0
0,2,1056,1.0,0.9999717949933744
2,1,1061,0.9998561482642633,1.0
1,2,1062,1.0,0.9999848492547831
2,1,1095,0.9999968047529566,0.9999999999957647
1,2,1096,0.9999999999957647,0.9999999993794715
2,1,1097,0.9999999993794715,0.9999999999999893
1,2,1098,0.9999999999999893,0.999999999997156
2,1,1100,0.9999999710912637,0.9999999981148688
1,2,1102,1.0,0.999999999939643
2,1,1121,0.999999994808416,1.0
1,2,1126,1.0,0.9999999580180168
2,1,1137,0.9999995853716512,1.0
1,2,1138,1.0,0.9999999998321041
2,1,1169,0.9999999999883187,0.9999999999999893
1,2,1171,0.9999999999999973,0.9999999989302708
2,1,1176,0.9999999828504259,0.9999999999802309
1,2,1177,0.9999999999802309,0.9999999987718091
2,1,1183,0.9968432186408537,0.9999999999954694
1,2,1184,0.9999999999954694,0.9999999047778082
2,1,1187,0.9999999997532463,0.9999997542856374
1,2,1188,0.9999997542856374,0.9999079493898798
2,0,1190,0.9999998716272149,1.0
0,2,1191,1.0,0.9999980545716044
2,0,1195,0.9999999495581088,1.0
0,2,1196,1.0,0.9999997419277924
2,0,1208,0.9999999997660023,1.0
0,1,1209,1.0,0.9999999999991971
1,2,1210,0.9999999999991971,0.9999970027045796
2,1,1218,0.9999999999405702,0.9999999854129024
1,2,1219,0.9999999854129024,0.9999961935892299
2,1,1222,0.9998113490407599,0.9999999999999147
1,2,1223,0.9999999999999147,0.9999999996927702
2,0,1240,0.9999940929369295,1.0
0,2,1242,0.6269569108299223,0.9999999999492619
2,0,1244,0.999999991851805,1.0
0,2,1245,1.0,0.9999999990949622
2,0,1264,0.9999999973581701,1.0
0,2,1265,1.0,0.9999999992914201
2,3,1268,0.9999999432206418,1.0
3,2,1269,1.0,0.9999999806947708
2,3,1274,0.9999998180266895,1.0
3,2,1276,1.0,0.9999999792081165
2,1,1303,0.9999999979751397,1.0
1,2,1304,1.0,0.9999999501806508
2,3,1312,0.9999999998731042,1.0
3,1,1313,1.0,1.0
1,2,1314,1.0,0.9999999997189413
2,1,1328,0.9999999990500719,0.9999999111959892
1,2,1329,0.9999999111959892,0.999998405725182
